# year, synthetic, actual
1.970000000000000000e+03 1.275735581182187843e+02 1.321999969482421875e+02
1.971000000000000000e+03 1.331005166403440398e+02 1.316999969482421875e+02
1.972000000000000000e+03 1.414154072179211994e+02 1.400000000000000000e+02
1.973000000000000000e+03 1.467665208511886874e+02 1.411999969482421875e+02
1.974000000000000000e+03 1.493017400874558973e+02 1.458000030517578125e+02
1.975000000000000000e+03 1.559365045585760470e+02 1.606999969482421875e+02
1.976000000000000000e+03 1.642853641638139095e+02 1.615000000000000000e+02
1.977000000000000000e+03 1.605660487940940584e+02 1.603999938964843750e+02
1.978000000000000000e+03 1.585662394000662232e+02 1.603000030517578125e+02
1.979000000000000000e+03 1.545136778556948229e+02 1.686000061035156250e+02
1.980000000000000000e+03 1.551430934763170342e+02 1.581000061035156250e+02
1.981000000000000000e+03 1.555380396719340297e+02 1.631000061035156250e+02
1.982000000000000000e+03 1.542139206892745733e+02 1.576999969482421875e+02
1.983000000000000000e+03 1.472001948427482318e+02 1.411999969482421875e+02
1.984000000000000000e+03 1.348359511660842998e+02 1.288999938964843750e+02
1.985000000000000000e+03 1.297077565794259044e+02 1.256999969482421875e+02
1.986000000000000000e+03 1.260864647977076487e+02 1.248000030517578125e+02
1.987000000000000000e+03 1.199012015653671455e+02 1.104000015258789062e+02
1.988000000000000000e+03 1.153021883292748555e+02 1.143000030517578125e+02
1.989000000000000000e+03 1.118219604846388080e+02 1.114000015258789062e+02
1.990000000000000000e+03 1.074536917698272731e+02 9.690000152587890625e+01
1.991000000000000000e+03 1.087891026042891980e+02 1.090999984741210938e+02
1.992000000000000000e+03 1.012581678713685278e+02 1.108000030517578125e+02
1.993000000000000000e+03 1.066996709371626793e+02 1.084000015258789062e+02
1.994000000000000000e+03 1.064441633004939263e+02 1.111999969482421875e+02
1.995000000000000000e+03 1.074242427075987791e+02 1.150000000000000000e+02
1.996000000000000000e+03 1.081631770718199022e+02 1.103000030517578125e+02
1.997000000000000000e+03 1.091698255370530148e+02 1.088000030517578125e+02
1.998000000000000000e+03 1.075525230664397043e+02 1.029000015258789062e+02
1.999000000000000000e+03 1.034855907881028401e+02 1.048000030517578125e+02
2.000000000000000000e+03 9.736187961459690143e+01 9.050000000000000000e+01
2.001000000000000000e+03 9.380929407174089363e+01 9.290000152587890625e+01
2.002000000000000000e+03 8.988147857921765649e+01 9.319999694824218750e+01
2.003000000000000000e+03 9.614376246902943990e+01 1.155000000000000000e+02
2.004000000000000000e+03 9.539393938564791142e+01 4.750000000000000000e+01
2.005000000000000000e+03 9.587152569844980121e+01 7.640000152587890625e+01
2.006000000000000000e+03 9.372595757156346963e+01 7.880000305175781250e+01
2.007000000000000000e+03 9.321627576882376331e+01 8.300000000000000000e+01
2.008000000000000000e+03 8.856648145711940856e+01 7.900000000000000000e+01
2.009000000000000000e+03 8.486394422158447526e+01 7.669999694824218750e+01
2.010000000000000000e+03 7.744923110414713108e+01 6.569999694824218750e+01
2.011000000000000000e+03 7.531710449462339341e+01 7.050000000000000000e+01
2.012000000000000000e+03 7.795596796935342354e+01 6.150000000000000000e+01
2.013000000000000000e+03 7.511663955674571014e+01 6.079999923706054688e+01
2.014000000000000000e+03 7.623633647287371673e+01 5.640000152587890625e+01
2.015000000000000000e+03 7.545205211278624802e+01 5.859999847412109375e+01
2.016000000000000000e+03 7.226909424369755186e+01 5.459999847412109375e+01
2.017000000000000000e+03 6.854955065540771386e+01 5.240000152587890625e+01
